Local time,Open,High,Low,Close,Volume
30.05.2022 04:35:00.000 GMT+0200,1.07512,1.07514,1.07508,1.07511,62.3
30.05.2022 04:36:00.000 GMT+0200,1.07512,1.07513,1.07504,1.07505,64.29
30.05.2022 04:37:00.000 GMT+0200,1.07505,1.07514,1.07501,1.07512,43.89
30.05.2022 04:38:00.000 GMT+0200,1.07512,1.07516,1.07511,1.07512,46.08
30.05.2022 04:39:00.000 GMT+0200,1.07513,1.07519,1.07511,1.07516,23.73
30.05.2022 04:40:00.000 GMT+0200,1.07515,1.07518,1.07508,1.07516,21.77
30.05.2022 04:41:00.000 GMT+0200,1.07516,1.07528,1.07516,1.07523,56.46
30.05.2022 04:42:00.000 GMT+0200,1.07520,1.07520,1.07509,1.07510,11.07
30.05.2022 04:43:00.000 GMT+0200,1.07507,1.07508,1.07501,1.07507,68.93
30.05.2022 04:44:00.000 GMT+0200,1.07507,1.07510,1.07502,1.07503,40.5
30.05.2022 04:45:00.000 GMT+0200,1.07500,1.07504,1.07490,1.07493,36.79
30.05.2022 04:46:00.000 GMT+0200,1.07492,1.07492,1.07480,1.07480,64.7
30.05.2022 04:47:00.000 GMT+0200,1.07479,1.07479,1.07469,1.07470,91.14
30.05.2022 04:48:00.000 GMT+0200,1.07471,1.07480,1.07464,1.07464,36.08
30.05.2022 04:49:00.000 GMT+0200,1.07466,1.07477,1.07465,1.07477,27.21
30.05.2022 04:50:00.000 GMT+0200,1.07477,1.07478,1.07464,1.07464,34.6
30.05.2022 04:51:00.000 GMT+0200,1.07460,1.07462,1.07432,1.07432,96.11
30.05.2022 04:52:00.000 GMT+0200,1.07433,1.07447,1.07433,1.07442,45.21
30.05.2022 04:53:00.000 GMT+0200,1.07438,1.07463,1.07434,1.07460,78.56
30.05.2022 04:54:00.000 GMT+0200,1.07459,1.07460,1.07449,1.07449,35.27
30.05.2022 04:55:00.000 GMT+0200,1.07447,1.07447,1.07430,1.07432,67.11
30.05.2022 04:56:00.000 GMT+0200,1.07432,1.07448,1.07431,1.07444,100.05
30.05.2022 04:57:00.000 GMT+0200,1.07444,1.07446,1.07427,1.07430,105.19
30.05.2022 04:58:00.000 GMT+0200,1.07429,1.07448,1.07427,1.07448,64.68
30.05.2022 04:59:00.000 GMT+0200,1.07451,1.07457,1.07450,1.07452,44.1
30.05.2022 05:00:00.000 GMT+0200,1.07448,1.07448,1.07438,1.07442,49.04
30.05.2022 05:01:00.000 GMT+0200,1.07442,1.07472,1.07441,1.07471,36.51
